jcp_reference_order,citation_key,doi,registry,title,doi_or_url,verified_utc,claim_supported,jcp_use,verification_notes
11,zink2017rebound,10.1111/jiec.12545,crossref,Circular Economy Rebound,https://doi.org/10.1111/jiec.12545,2026-09-25T08:03:21+00:00,Well-intended circular strategies can produce rebound effects that offset expected environmental gains,include,Crossref metadata verified; publication date 2017-6. Claim scope limited to the cited work's documented topic.
12,korhonen2018circular,10.1016/j.ecolecon.2017.06.041,crossref,Circular Economy: The Concept and its Limitations,https://doi.org/10.1016/j.ecolecon.2017.06.041,2026-09-25T08:03:21+00:00,Circular-economy concepts have documented conceptual and thermodynamic limitations,include,Crossref metadata verified; publication date 2018-1. Claim scope limited to the cited work's documented topic.
13,steffen2015boundaries,10.1126/science.1259855,crossref,Planetary boundaries: Guiding human development on a changing planet,https://doi.org/10.1126/science.1259855,2026-09-25T08:03:21+00:00,Environmental performance must be judged against multiple Earth-system boundaries rather than a single objective,include,Crossref metadata verified; publication date 2015-2-13. Claim scope limited to the cited work's documented topic.
14,mohai2009justice,10.1146/annurev-environ-082508-094348,crossref,Environmental Justice,https://doi.org/10.1146/annurev-environ-082508-094348,2026-09-25T08:03:21+00:00,Environmental burdens are systematically displaced toward less populated or less powerful receiving areas,include,Crossref metadata verified; publication date 2009-11-1. Claim scope limited to the cited work's documented topic.
15,forman2016wasteheat,10.1016/j.rser.2015.12.192,crossref,Estimating the global waste heat potential,https://doi.org/10.1016/j.rser.2015.12.192,2026-09-25T08:03:21+00:00,A large share of global primary energy is released as low-temperature waste heat,include,Crossref metadata verified; publication date 2016-5. Claim scope limited to the cited work's documented topic.
16,papapetrou2018wasteheat,10.1016/j.applthermaleng.2018.04.043,crossref,"Industrial waste heat: Estimation of the technically available resource in the EU per industrial sector, temperature level and country",https://doi.org/10.1016/j.applthermaleng.2018.04.043,2026-09-25T08:03:21+00:00,"Technically available industrial waste heat is resolved by sector, temperature level, and country",include,Crossref metadata verified; publication date 2018-6. Claim scope limited to the cited work's documented topic.
17,brueckner2015wasteheat,10.1016/j.apenergy.2015.01.147,crossref,Industrial waste heat recovery technologies: An economic analysis of heat transformation technologies,https://doi.org/10.1016/j.apenergy.2015.01.147,2026-09-25T08:03:21+00:00,Waste-heat transformation technologies are assessed with explicit technical and economic inputs,include,Crossref metadata verified; publication date 2015-8. Claim scope limited to the cited work's documented topic.
18,ebrahimi2014datacenter,10.1016/j.rser.2013.12.007,crossref,"A review of data center cooling technology, operating conditions and the corresponding low-grade waste heat recovery opportunities",https://doi.org/10.1016/j.rser.2013.12.007,2026-09-25T08:03:21+00:00,Data-centre cooling produces low-grade waste heat with documented recovery opportunities,include,Crossref metadata verified; publication date 2014-3. Claim scope limited to the cited work's documented topic.
19,wahlroos2018datacenter,10.1016/j.rser.2017.10.058,crossref,Future views on waste heat utilization – Case of data centers in Northern Europe,https://doi.org/10.1016/j.rser.2017.10.058,2026-09-25T08:03:21+00:00,Data-centre waste heat utilisation depends on a matched receiving heat demand,include,Crossref metadata verified; publication date 2018-2. Claim scope limited to the cited work's documented topic.
20,ebrahimi2019datacenterwhr,10.1016/j.jclepro.2019.02.061,crossref,Thermoeconomic and environmental feasibility of waste heat recovery of a data center using air source heat pump,https://doi.org/10.1016/j.jclepro.2019.02.061,2026-09-25T08:03:21+00:00,Data-centre waste-heat recovery feasibility studies require case-specific thermoeconomic inputs,include,Crossref metadata verified; publication date 2019-5. Claim scope limited to the cited work's documented topic.
21,zhang2024datacentermismatch,10.1016/j.jclepro.2024.143466,crossref,"Comprehensive assessment of waste heat recovery mismatch and renewable energy integration in data centers: A multifaceted energy, economic, and environmental perspectives",https://doi.org/10.1016/j.jclepro.2024.143466,2026-09-25T08:03:21+00:00,Data-centre waste-heat recovery is limited by temporal mismatch between availability and demand,include,Crossref metadata verified; publication date 2024-9. Claim scope limited to the cited work's documented topic.
22,fang2018industrycity,10.1016/j.jclepro.2018.05.045,crossref,"Industrial excess heat recovery in industry-city networks: a technical, environmental and economic assessment of heat flexibility",https://doi.org/10.1016/j.jclepro.2018.05.045,2026-09-25T08:03:21+00:00,"Industry-to-city excess-heat networks require technical, environmental, and economic evaluation of the delivery route",include,Crossref metadata verified; publication date 2018-8. Claim scope limited to the cited work's documented topic.
23,yang2021exergoenvironmental,10.1016/j.jclepro.2020.125679,crossref,Exergo-environmental assessment and multi-objective optimization of waste heat recovery systems based on Organic Rankine cycle configurations,https://doi.org/10.1016/j.jclepro.2020.125679,2026-09-25T08:03:21+00:00,Waste-heat recovery designs are optimized against explicit exergo-environmental objectives,include,Crossref metadata verified; publication date 2021-3. Claim scope limited to the cited work's documented topic.
24,arpagaus2018heatpumps,10.1016/j.energy.2018.03.166,crossref,"High temperature heat pumps: Market overview, state of the art, research status, refrigerants, and application potentials",https://doi.org/10.1016/j.energy.2018.03.166,2026-09-25T08:03:21+00:00,High-temperature heat pumps upgrade low-grade heat within documented temperature and performance limits,include,Crossref metadata verified; publication date 2018-6. Claim scope limited to the cited work's documented topic.
25,guelpa2019storage,10.1016/j.apenergy.2019.113474,crossref,Thermal energy storage in district heating and cooling systems: A review,https://doi.org/10.1016/j.apenergy.2019.113474,2026-09-25T08:03:21+00:00,Short- and long-duration thermal storage are established district-energy flexibility options,include,Crossref metadata verified; publication date 2019-10. Claim scope limited to the cited work's documented topic.
26,lund2014district,10.1016/j.energy.2014.02.089,crossref,4th Generation District Heating (4GDH),https://doi.org/10.1016/j.energy.2014.02.089,2026-09-25T08:03:21+00:00,Low-temperature district heating integrates thermal resources and storage,include,Crossref metadata verified; publication date 2014-4. Claim scope limited to the cited work's documented topic.
27,li2022allocation,10.1016/j.cie.2022.108448,crossref,Optimal spatial resource allocation in networks: Application to district heating and cooling,https://doi.org/10.1016/j.cie.2022.108448,2026-09-25T08:03:21+00:00,Spatial allocation of thermal resources can be formulated with transportation theory and linear programming,include,Crossref metadata verified; publication date 2022-9. Claim scope limited to the cited work's documented topic.
28,raptis2016thermalpollution,10.1088/1748-9326/11/10/104011,crossref,Global thermal pollution of rivers from thermoelectric power plants,https://doi.org/10.1088/1748-9326/11/10/104011,2026-09-25T08:03:21+00:00,Thermal discharge from thermoelectric plants is a quantified global river thermal-pollution pressure,include,Crossref metadata verified; publication date 2016-10-1. Claim scope limited to the cited work's documented topic.
29,madden2013thermaleffluent,10.1088/1748-9326/8/3/035006,crossref,Thermal effluent from the power sector: an analysis of once-through cooling system impacts on surface water temperature,https://doi.org/10.1088/1748-9326/8/3/035006,2026-09-25T08:03:21+00:00,Once-through cooling discharge measurably raises receiving-water temperature,include,Crossref metadata verified; publication date 2013-9-1. Claim scope limited to the cited work's documented topic.
30,cheng2017oceanheat,10.1126/sciadv.1601545,crossref,Improved estimates of ocean heat content from 1960 to 2015,https://doi.org/10.1126/sciadv.1601545,2026-09-25T08:03:21+00:00,The ocean accumulates anthropogenic heat rather than eliminating it,include,Crossref metadata verified; publication date 2017-3-3. Claim scope limited to the cited work's documented topic.
31,serreze2011arctic,10.1016/j.gloplacha.2011.03.004,crossref,Processes and impacts of Arctic amplification: A research synthesis,https://doi.org/10.1016/j.gloplacha.2011.03.004,2026-09-25T08:03:21+00:00,The cryosphere is disproportionately sensitive to added heat through amplification processes,include,Crossref metadata verified; publication date 2011-5. Claim scope limited to the cited work's documented topic.
32,flanner2009anthropogenic,10.1029/2008GL036465,crossref,Integrating anthropogenic heat flux with global climate models,https://doi.org/10.1029/2008GL036465,2026-09-25T08:03:21+00:00,Anthropogenic heat flux is spatially concentrated and can affect regional climate,include,Crossref metadata verified; publication date 2009-1. Claim scope limited to the cited work's documented topic.
33,chen2004anthropogenic,10.1029/2004GL019852,crossref,Impacts of anthropogenic heat on regional climate patterns,https://doi.org/10.1029/2004GL019852,2026-09-25T08:03:21+00:00,Regional climate responses to anthropogenic heat have been modeled,include,Crossref metadata verified; publication date 2004-6. Claim scope limited to the cited work's documented topic.
34,sherwood2010adaptability,10.1073/pnas.0913352107,crossref,An adaptability limit to climate change due to heat stress,https://doi.org/10.1073/pnas.0913352107,2026-09-25T08:03:21+00:00,Human heat tolerance has physically defined limits under combined heat and humidity,include,Crossref metadata verified; publication date 2010-5-25. Claim scope limited to the cited work's documented topic.
35,raymond2020heat,10.1126/sciadv.aaw1838,crossref,The emergence of heat and humidity too severe for human tolerance,https://doi.org/10.1126/sciadv.aaw1838,2026-09-25T08:03:21+00:00,Compound heat and humidity extremes are relevant to human tolerance,include,Crossref metadata verified; publication date 2020-5-8. Claim scope limited to the cited work's documented topic.
36,mora2017deadlyheat,10.1038/nclimate3322,crossref,Global risk of deadly heat,https://doi.org/10.1038/nclimate3322,2026-09-25T08:03:21+00:00,Population exposure to dangerous heat has global relevance,include,Crossref metadata verified; publication date 2017-7. Claim scope limited to the cited work's documented topic.
37,buzan2015heatstress,10.5194/gmd-8-151-2015,crossref,Implementation and comparison of a suite of heat stress metrics within the Community Land Model version 4.5,https://doi.org/10.5194/gmd-8-151-2015,2026-09-25T08:03:21+00:00,Heat-stress metrics differ materially and should be sensitivity-tested,include,Crossref metadata verified; publication date 2015-2-5. Claim scope limited to the cited work's documented topic.
38,liljegren2008wbgt,10.1080/15459620802310770,crossref,Modeling the Wet Bulb Globe Temperature Using Standard Meteorological Measurements,https://doi.org/10.1080/15459620802310770,2026-09-25T08:03:21+00:00,WBGT can be modeled from standard meteorological measurements,include,Crossref metadata verified; publication date 2008-9-18. Claim scope limited to the cited work's documented topic.
39,stull2011wetbulb,10.1175/JAMC-D-11-0143.1,crossref,Wet-Bulb Temperature from Relative Humidity and Air Temperature,https://doi.org/10.1175/JAMC-D-11-0143.1,2026-09-25T08:03:21+00:00,Empirical wet-bulb approximation from air temperature and relative humidity,include,Crossref metadata verified; publication date 2011-11. Claim scope limited to the cited work's documented topic.
40,kalnay1996ncep,10.1175/1520-0477(1996)077<0437:TNYRP>2.0.CO;2,crossref,The NCEP/NCAR 40-Year Reanalysis Project,https://doi.org/10.1175/1520-0477(1996)077<0437:TNYRP>2.0.CO;2,2026-09-25T08:03:21+00:00,NCEP/NCAR Reanalysis 1 architecture and characteristics,include,Crossref metadata verified; publication date 1996-3. Claim scope limited to the cited work's documented topic.
41,tatem2017worldpop,10.1038/sdata.2017.1,crossref,High resolution global gridded data for use in population studies,https://doi.org/10.1038/sdata.2017.1,2026-09-25T08:03:21+00:00,WorldPop-style high-resolution global gridded population data,include,Crossref metadata verified; publication date 2017-1-31. Claim scope limited to the cited work's documented topic.
42,peyre2019transport,10.1561/2200000073,crossref,Computational Optimal Transport with Applications to Data Sciences,https://doi.org/10.1561/2200000073,2026-09-25T08:03:21+00:00,Computational optimal transport provides scalable regularized transport methods,include,Crossref metadata verified; publication date 2019-2-12. Claim scope limited to the cited work's documented topic.
43,loeb2018ceres,10.1175/JCLI-D-17-0208.1,crossref,Clouds and the Earth’s Radiant Energy System (CERES) Energy Balanced and Filled (EBAF) Top-of-Atmosphere (TOA) Edition-4.0 Data Product,https://doi.org/10.1175/JCLI-D-17-0208.1,2026-09-25T08:03:21+00:00,"CERES EBAF supplies observational TOA radiation fields, not causal heat-response derivatives",include,Crossref metadata verified; publication date 2018-1. Claim scope limited to the cited work's documented topic.
44,raman2014radiative,10.1038/nature13883,crossref,Passive radiative cooling below ambient air temperature under direct sunlight,https://doi.org/10.1038/nature13883,2026-09-25T08:03:21+00:00,Engineered radiative cooling can reject heat through the atmospheric window under specific device conditions,include,Crossref metadata verified; publication date 2014-11. Claim scope limited to the cited work's documented topic.
45,zhai2017radiative,10.1126/science.aai7899,crossref,Scalable-manufactured randomized glass-polymer hybrid metamaterial for daytime radiative cooling,https://doi.org/10.1126/science.aai7899,2026-09-25T08:03:21+00:00,Scalable radiative-cooling materials reject heat only under specified device and sky conditions,include,Crossref metadata verified; publication date 2017-3-10. Claim scope limited to the cited work's documented topic.
46,frontier2024dataset,10.1038/s41597-024-03913-w,crossref,Energy dataset of Frontier supercomputer for waste heat recovery,https://doi.org/10.1038/s41597-024-03913-w,2026-09-25T08:03:21+00:00,Measured Frontier supercomputer waste-heat and power data are published as an auditable dataset,include,Crossref metadata verified; publication date 2024-10-3. Claim scope limited to the cited work's documented topic.
47,frontier2024figshare,10.6084/m9.figshare.24391240.v4,datacite,Frontier HPC &amp; Facility Data,https://doi.org/10.6084/m9.figshare.24391240.v4,2026-09-25T08:03:21+00:00,Versioned Figshare deposit holding the measured Frontier facility workbook used in this study,include,Datacite metadata verified; publication date 2024. Claim scope limited to the cited work's documented topic.
48,ornl2024wasteheatreport,10.2172/2329591,crossref,ORNL Campus Sustainability and Decarbonization using Waste Heat Recovery from the Oak Ridge Leadership Computing Facility’s High-Performance Computing Data Center,https://doi.org/10.2172/2329591,2026-09-25T08:03:21+00:00,Documented ORNL campus receiving-demand summaries and heat-pump case configurations,include,Crossref metadata verified; publication date 2024-3-1. Claim scope limited to the cited work's documented topic.
,hersbach2020era5,10.1002/qj.3803,crossref,The ERA5 global reanalysis,https://doi.org/10.1002/qj.3803,2026-09-25T08:03:21+00:00,"ERA5 architecture, assimilation, and reanalysis characteristics",exclude_from_main_reference_list,ERA5 is not the primary climate baseline in the frozen JCP manuscript.
,dinapoli2021era5heat,10.1002/gdj3.102,crossref,ERA5‐HEAT: A global gridded historical dataset of human thermal comfort indices from climate reanalysis,https://doi.org/10.1002/gdj3.102,2026-09-25T08:03:21+00:00,Global gridded thermal-comfort indices can be derived from reanalysis,exclude_from_main_reference_list,Heat-stress citation is redundant with direct Humidex and wet-bulb sources.
,john2022oceanmover,10.1098/rspa.2021.0875,crossref,Ocean mover’s distance: using optimal transport for analysing oceanographic data,https://doi.org/10.1098/rspa.2021.0875,2026-09-25T08:03:21+00:00,Optimal transport respects spatial displacement in oceanographic fields,exclude_from_main_reference_list,Ocean-heat relocation concept is too remote from the final no-free-sink argument.
,parno2019seaice,10.1029/2019GL083037,crossref,Remote Measurement of Sea Ice Dynamics With Regularized Optimal Transport,https://doi.org/10.1029/2019GL083037,2026-09-25T08:03:21+00:00,Regularized optimal transport has been applied to sea-ice dynamics,exclude_from_main_reference_list,Cryosphere engineering concept is not needed after categorical exclusion.
,vissio2020wasserstein,10.1029/2020GL089385,crossref,Evaluating the Performance of Climate Models Based on Wasserstein Distance,https://doi.org/10.1029/2020GL089385,2026-09-25T08:03:21+00:00,Wasserstein distance has been used to evaluate climate-model fields,exclude_from_main_reference_list,Optimal-transport literature is represented by Peyre and Cuturi.
