value_id,manuscript_section,claim_label,value,unit,display_value,evidence_status,eligibility,source_artifact,source_selector,source_sha256,derivation,claim_limit
matched_temporal_lag,Global theoretical screening,Matched-event temporal lag,18,hour,18,DERIVED_MODEL_OUTPUT,THEORETICAL,results/canonical/matched_event_allocations.csv,analysis == temporal; lag_steps,1721c3be6e249a678fcf4e5a6d42d1f85118ce7c0cb670ef17f0da5346ff4b78,Matched temporal lag_steps multiplied by the canonical time_step_hours from structural_replication.csv.,"Storage window in the screening model, not a case storage design."
matched_cooptimal_sink_count,Global theoretical screening,Exactly co-optimal matched-event sink candidates,422,count,422,MODEL_OUTPUT,THEORETICAL,results/canonical/matched_event_allocations.csv,analysis == spatial; cooptimal_candidate_count,1721c3be6e249a678fcf4e5a6d42d1f85118ce7c0cb670ef17f0da5346ff4b78,Direct count using the configured co-optimality tolerance.,Non-uniqueness weakens any single-site interpretation.
matched_near_optimal_sink_count,Global theoretical screening,Matched-event sink candidates within 1% of the optimum,808,count,808,MODEL_OUTPUT,THEORETICAL,results/canonical/matched_event_allocations.csv,analysis == spatial; near_optimal_candidate_count,1721c3be6e249a678fcf4e5a6d42d1f85118ce7c0cb670ef17f0da5346ff4b78,Direct count using the configured within-1% criterion.,Non-uniqueness weakens any single-site interpretation.
finite_q_largest_feasible,Global theoretical screening,Largest evaluated heat quantity feasible under the local cap,100000,GJ,"100,000",MODEL_OUTPUT,THEORETICAL,results/canonical/finite_q_sensitivity.csv,max(energy_gj where status == feasible),56dcd9ae68e16c8939195e3a1d89274467192685b9aec8a84f86a240bde46c88,Maximum among evaluated finite-Q sensitivity rows.,Local feasibility is not practical transport or disposal feasibility.
finite_q_smallest_infeasible,Global theoretical screening,Smallest evaluated heat quantity infeasible under the local cap,1000000,GJ,"1,000,000",MODEL_OUTPUT,THEORETICAL,results/canonical/finite_q_sensitivity.csv,min(energy_gj where status == infeasible_under_local_capacity),56dcd9ae68e16c8939195e3a1d89274467192685b9aec8a84f86a240bde46c88,Minimum among evaluated infeasible finite-Q sensitivity rows.,Threshold is bracketed only by evaluated quantities.
structural_replication_scenario_count,Structural replication,Structural replication scenarios,9,count,9,MODEL_OUTPUT,THEORETICAL,results/tables/structural_replication.csv,row_count,097ade6b588095040a4e2b256e08267cdb58a4b5449d0ea0fb0b3a61c41e7a99,Count of predefined structural-replication scenarios.,"A structured robustness panel, not an exhaustive uncertainty analysis."
structural_spatial_value_min,Structural replication,Minimum spatial screening value across structural replications,50.0062199283055,burden_units_per_GJ,50.0062,MODEL_OUTPUT,THEORETICAL,results/tables/structural_replication.csv,min(spatial_zero_penalty_net_benefit_per_gj),097ade6b588095040a4e2b256e08267cdb58a4b5449d0ea0fb0b3a61c41e7a99,Minimum across the predefined structural-replication panel.,Values differ in proxy definition and are not practical benefits.
structural_spatial_value_max,Structural replication,Maximum spatial screening value across structural replications,787.294867913894,burden_units_per_GJ,787.2949,MODEL_OUTPUT,THEORETICAL,results/tables/structural_replication.csv,max(spatial_zero_penalty_net_benefit_per_gj),097ade6b588095040a4e2b256e08267cdb58a4b5449d0ea0fb0b3a61c41e7a99,Maximum across the predefined structural-replication panel.,Values differ in proxy definition and are not practical benefits.
frontier_expected_intervals,Measured source case,Expected Frontier 10-minute calendar intervals,52560,count,"52,560",DERIVED_MEASURED_DATA,MEASURED_SOURCE,results/techno_economic/frontier_source_potential.csv,metric == expected_10_minute_intervals; value,d7dd98e75486865c86b3a5c6f92290192b427b1fff67eac7f695c1a0cc1f5cee,Non-leap calendar count at 10-minute resolution.,Expected timestamps are not observed heat values.
frontier_valid_intervals,Measured source case,Valid measured Frontier source intervals,49869,count,"49,869",DERIVED_MEASURED_DATA,MEASURED_SOURCE,results/techno_economic/frontier_source_potential.csv,metric == valid_waste_heat_observations; value,d7dd98e75486865c86b3a5c6f92290192b427b1fff67eac7f695c1a0cc1f5cee,Count of numeric measured waste-heat observations.,Missing observations remain unavailable and are not imputed.
frontier_missing_intervals,Measured source case,Missing Frontier calendar intervals,2691,count,"2,691",DERIVED_MEASURED_DATA,MEASURED_SOURCE,results/techno_economic/frontier_source_potential.csv,metric == missing_timestamps; value,d7dd98e75486865c86b3a5c6f92290192b427b1fff67eac7f695c1a0cc1f5cee,Expected calendar intervals minus unique workbook timestamps.,Does not isolate facility downtime from acquisition downtime.
frontier_observed_heat,Measured source case,Observed valid Frontier waste heat,75573.5905508154,MWh_th,"75,573.6",DERIVED_MEASURED_DATA,MEASURED_SOURCE,results/techno_economic/frontier_source_potential.csv,metric == observed_waste_heat_energy; value,d7dd98e75486865c86b3a5c6f92290192b427b1fff67eac7f695c1a0cc1f5cee,Sum of measured MW values multiplied by 1/6 hour.,Observed valid intervals only; not a complete-year estimate.
frontier_waste_heat_min,Measured source case,source waste heat min mw,0,MW_th,0.0,DERIVED_MEASURED_DATA,MEASURED_SOURCE,data/metadata/technology_parameters.csv,parameter_id == source_waste_heat_min_mw; value,e214930f97389419a034be1a3c32eee762db0fe13701e8b99d13e2b05c836ce9,Minimum of numeric Overall_WasteHeat observations in worksheet Frontier2023; units row and missing cells excluded.,Source-side measured context only.
frontier_waste_heat_median,Measured source case,source waste heat median mw,8.58568002133,MW_th,8.5857,DERIVED_MEASURED_DATA,MEASURED_SOURCE,data/metadata/technology_parameters.csv,parameter_id == source_waste_heat_median_mw; value,e214930f97389419a034be1a3c32eee762db0fe13701e8b99d13e2b05c836ce9,Median of numeric Overall_WasteHeat observations in worksheet Frontier2023; units row and missing cells excluded.,Source-side measured context only.
frontier_waste_heat_mean,Measured source case,source waste heat mean mw,9.09265361858,MW_th,9.0927,DERIVED_MEASURED_DATA,MEASURED_SOURCE,data/metadata/technology_parameters.csv,parameter_id == source_waste_heat_mean_mw; value,e214930f97389419a034be1a3c32eee762db0fe13701e8b99d13e2b05c836ce9,Arithmetic mean of numeric Overall_WasteHeat observations in worksheet Frontier2023; units row and missing cells excluded.,Source-side measured context only.
frontier_waste_heat_p95,Measured source case,source waste heat p95 mw,14.7010922411,MW_th,14.7011,DERIVED_MEASURED_DATA,MEASURED_SOURCE,data/metadata/technology_parameters.csv,parameter_id == source_waste_heat_p95_mw; value,e214930f97389419a034be1a3c32eee762db0fe13701e8b99d13e2b05c836ce9,95th percentile of numeric Overall_WasteHeat observations in worksheet Frontier2023; units row and missing cells excluded.,Source-side measured context only.
frontier_waste_heat_max,Measured source case,source waste heat max mw,26.3352728318,MW_th,26.3353,DERIVED_MEASURED_DATA,MEASURED_SOURCE,data/metadata/technology_parameters.csv,parameter_id == source_waste_heat_max_mw; value,e214930f97389419a034be1a3c32eee762db0fe13701e8b99d13e2b05c836ce9,Maximum of numeric Overall_WasteHeat observations in worksheet Frontier2023; units row and missing cells excluded.,Source-side measured context only.
frontier_supply_temperature_median,Measured source case,source supply temperature median c,20.5,deg_C,20.5,DERIVED_MEASURED_DATA,MEASURED_SOURCE,data/metadata/technology_parameters.csv,parameter_id == source_supply_temperature_median_c; value,e214930f97389419a034be1a3c32eee762db0fe13701e8b99d13e2b05c836ce9,Median of numeric Overall Coolant Supply Temp observations in worksheet Frontier2023; units row and missing cells excluded.,Source-side measured context only.
frontier_return_temperature_median,Measured source case,source return temperature median c,31.8029541921,deg_C,31.803,DERIVED_MEASURED_DATA,MEASURED_SOURCE,data/metadata/technology_parameters.csv,parameter_id == source_return_temperature_median_c; value,e214930f97389419a034be1a3c32eee762db0fe13701e8b99d13e2b05c836ce9,Median of numeric Overall-average Coolant Return Temp observations in worksheet Frontier2023; units row and missing cells excluded.,Source-side measured context only.
heat_pump_case_cop,Conditional technology case,heat pump case cop,3.08,MW_heat_per_MW_electric,3.08,CASE_SOURCE_VALUE,CONDITIONAL,data/metadata/technology_parameters.csv,parameter_id == heat_pump_case_cop; value,e214930f97389419a034be1a3c32eee762db0fe13701e8b99d13e2b05c836ce9,Direct selection of the documented case-source value.,"Technology value does not close missing demand, route, or cost gates."
heat_pump_case_total_capacity,Conditional technology case,heat pump case total capacity mw,3,MW_th,3.0,CASE_SOURCE_VALUE,CONDITIONAL,data/metadata/technology_parameters.csv,parameter_id == heat_pump_case_total_capacity_mw; value,e214930f97389419a034be1a3c32eee762db0fe13701e8b99d13e2b05c836ce9,3 units * 1 MW_th/unit.,"Technology value does not close missing demand, route, or cost gates."
heat_pump_case_sink_temperature,Conditional technology case,heat pump case sink temperature c,85,deg_C,85,CASE_SOURCE_VALUE,CONDITIONAL,data/metadata/technology_parameters.csv,parameter_id == heat_pump_case_sink_temperature_c; value,e214930f97389419a034be1a3c32eee762db0fe13701e8b99d13e2b05c836ce9,Direct selection of the documented case-source value.,"Technology value does not close missing demand, route, or cost gates."
heat_pump_case_unit_equipment_cost,Conditional technology case,heat pump case unit equipment cost usd,200000,USD_unspecified_year_per_unit,"200,000",CASE_SOURCE_VALUE,CONDITIONAL,data/metadata/technology_parameters.csv,parameter_id == heat_pump_case_unit_equipment_cost_usd; value,e214930f97389419a034be1a3c32eee762db0fe13701e8b99d13e2b05c836ce9,Direct selection of the documented case-source value.,Equipment-only scope and price year are not fully specified.
ornl_case_a_average,Receiving-demand evidence,Case A average recorded space-heating demand,0.76,MW_th,0.76,OFFICIAL_MEASURED_SUMMARY,BOUND_ONLY,data/metadata/ornl_demand_summary.csv,record_id == case_a_average; value_mw_th,52933daca612169db25e6b41afca265a5446799f26075485ea794c28d69492db,Manual transcription of the one-year recorded space-heating summary,Summary statistic only; no timestamped demand profile.
ornl_case_a_maximum,Receiving-demand evidence,Case A maximum recorded space-heating demand,2.09,MW_th,2.09,OFFICIAL_MEASURED_SUMMARY,BOUND_ONLY,data/metadata/ornl_demand_summary.csv,record_id == case_a_maximum; value_mw_th,52933daca612169db25e6b41afca265a5446799f26075485ea794c28d69492db,Manual transcription of the one-year recorded space-heating summary,Summary statistic only; no timestamped demand profile.
ornl_case_b_selected_average,Receiving-demand evidence,Selected Case B average demand bound,1.31,MW_th,1.31,OFFICIAL_MEASURED_SUMMARY,BOUND_ONLY,data/metadata/ornl_demand_summary.csv,record_id == case_b_selected_average; value_mw_th,52933daca612169db25e6b41afca265a5446799f26075485ea794c28d69492db,Sum of the transcribed Case A and Buildings 5100-5300 average values,Summary statistic only; no timestamped demand profile.
ornl_case_b_selected_maximum,Receiving-demand evidence,Selected Case B maximum demand bound,3.61,MW_th,3.61,OFFICIAL_MEASURED_SUMMARY,BOUND_ONLY,data/metadata/ornl_demand_summary.csv,record_id == case_b_selected_maximum; value_mw_th,52933daca612169db25e6b41afca265a5446799f26075485ea794c28d69492db,Sum of the transcribed Case A and Buildings 5100-5300 maximum values,Summary statistic only; no timestamped demand profile.
dispatch_direct_lower_demand_bound_source_heat_used,Finite dispatch sensitivity,direct_lower_demand_bound source heat used,5590.87216116046,MWh_th,"5,590.9",DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,scenario_id == direct_lower_demand_bound; source_heat_used_mwh,8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Direct selection of the finite-dispatch scenario output.,Demand-bound sensitivity; not an observed or calibrated annual Frontier-to-ORNL operation.
dispatch_direct_lower_demand_bound_useful_heat_delivered,Finite dispatch sensitivity,direct_lower_demand_bound useful heat delivered,8278.79146941068,MWh_th,"8,278.8",DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,scenario_id == direct_lower_demand_bound; useful_heat_delivered_mwh,8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Direct selection of the finite-dispatch scenario output.,Demand-bound sensitivity; not an observed or calibrated annual Frontier-to-ORNL operation.
dispatch_direct_lower_demand_bound_residual_source_rejection,Finite dispatch sensitivity,direct_lower_demand_bound residual source rejection,69982.7183896549,MWh_th,"69,982.7",DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,scenario_id == direct_lower_demand_bound; residual_source_rejection_mwh,8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Direct selection of the finite-dispatch scenario output.,Demand-bound sensitivity; not an observed or calibrated annual Frontier-to-ORNL operation.
dispatch_direct_lower_demand_bound_demand_served,Finite dispatch sensitivity,direct_lower_demand_bound demand served,0.945067519339119,fraction,94.507%,DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,scenario_id == direct_lower_demand_bound; demand_served_fraction,8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Direct selection of the finite-dispatch scenario output.,Demand-bound sensitivity; not an observed or calibrated annual Frontier-to-ORNL operation.
dispatch_direct_upper_demand_bound_source_heat_used,Finite dispatch sensitivity,direct_upper_demand_bound source heat used,11170.5491023421,MWh_th,"11,170.5",DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,scenario_id == direct_upper_demand_bound; source_heat_used_mwh,8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Direct selection of the finite-dispatch scenario output.,Demand-bound sensitivity; not an observed or calibrated annual Frontier-to-ORNL operation.
dispatch_direct_upper_demand_bound_useful_heat_delivered,Finite dispatch sensitivity,direct_upper_demand_bound useful heat delivered,16541.005401545,MWh_th,"16,541.0",DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,scenario_id == direct_upper_demand_bound; useful_heat_delivered_mwh,8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Direct selection of the finite-dispatch scenario output.,Demand-bound sensitivity; not an observed or calibrated annual Frontier-to-ORNL operation.
dispatch_direct_upper_demand_bound_residual_source_rejection,Finite dispatch sensitivity,direct_upper_demand_bound residual source rejection,64403.0414484733,MWh_th,"64,403.0",DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,scenario_id == direct_upper_demand_bound; residual_source_rejection_mwh,8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Direct selection of the finite-dispatch scenario output.,Demand-bound sensitivity; not an observed or calibrated annual Frontier-to-ORNL operation.
dispatch_direct_upper_demand_bound_demand_served,Finite dispatch sensitivity,direct_upper_demand_bound demand served,0.944121312873576,fraction,94.412%,DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,scenario_id == direct_upper_demand_bound; demand_served_fraction,8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Direct selection of the finite-dispatch scenario output.,Demand-bound sensitivity; not an observed or calibrated annual Frontier-to-ORNL operation.
dispatch_minimum_formula_storage_lower_demand_source_heat_used,Finite dispatch sensitivity,minimum_formula_storage_lower_demand source heat used,5968.76025195065,MWh_th,"5,968.8",DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,scenario_id == minimum_formula_storage_lower_demand; source_heat_used_mwh,8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Direct selection of the finite-dispatch scenario output.,Demand-bound sensitivity; not an observed or calibrated annual Frontier-to-ORNL operation.
dispatch_minimum_formula_storage_lower_demand_useful_heat_delivered,Finite dispatch sensitivity,minimum_formula_storage_lower_demand useful heat delivered,8747.75843018163,MWh_th,"8,747.8",DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,scenario_id == minimum_formula_storage_lower_demand; useful_heat_delivered_mwh,8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Direct selection of the finite-dispatch scenario output.,Demand-bound sensitivity; not an observed or calibrated annual Frontier-to-ORNL operation.
dispatch_minimum_formula_storage_lower_demand_residual_source_rejection,Finite dispatch sensitivity,minimum_formula_storage_lower_demand residual source rejection,69604.8302988647,MWh_th,"69,604.8",DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,scenario_id == minimum_formula_storage_lower_demand; residual_source_rejection_mwh,8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Direct selection of the finite-dispatch scenario output.,Demand-bound sensitivity; not an observed or calibrated annual Frontier-to-ORNL operation.
dispatch_minimum_formula_storage_lower_demand_demand_served,Finite dispatch sensitivity,minimum_formula_storage_lower_demand demand served,0.998602560523018,fraction,99.860%,DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,scenario_id == minimum_formula_storage_lower_demand; demand_served_fraction,8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Direct selection of the finite-dispatch scenario output.,Demand-bound sensitivity; not an observed or calibrated annual Frontier-to-ORNL operation.
dispatch_minimum_formula_storage_upper_demand_source_heat_used,Finite dispatch sensitivity,minimum_formula_storage_upper_demand source heat used,11670.2018553839,MWh_th,"11,670.2",DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,scenario_id == minimum_formula_storage_upper_demand; source_heat_used_mwh,8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Direct selection of the finite-dispatch scenario output.,Demand-bound sensitivity; not an observed or calibrated annual Frontier-to-ORNL operation.
dispatch_minimum_formula_storage_upper_demand_useful_heat_delivered,Finite dispatch sensitivity,minimum_formula_storage_upper_demand useful heat delivered,17188.4762070921,MWh_th,"17,188.5",DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,scenario_id == minimum_formula_storage_upper_demand; useful_heat_delivered_mwh,8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Direct selection of the finite-dispatch scenario output.,Demand-bound sensitivity; not an observed or calibrated annual Frontier-to-ORNL operation.
dispatch_minimum_formula_storage_upper_demand_residual_source_rejection,Finite dispatch sensitivity,minimum_formula_storage_upper_demand residual source rejection,63903.3886954315,MWh_th,"63,903.4",DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,scenario_id == minimum_formula_storage_upper_demand; residual_source_rejection_mwh,8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Direct selection of the finite-dispatch scenario output.,Demand-bound sensitivity; not an observed or calibrated annual Frontier-to-ORNL operation.
dispatch_minimum_formula_storage_upper_demand_demand_served,Finite dispatch sensitivity,minimum_formula_storage_upper_demand demand served,0.981077409080598,fraction,98.108%,DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,scenario_id == minimum_formula_storage_upper_demand; demand_served_fraction,8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Direct selection of the finite-dispatch scenario output.,Demand-bound sensitivity; not an observed or calibrated annual Frontier-to-ORNL operation.
dispatch_generic_storage_lower_demand_source_heat_used,Finite dispatch sensitivity,generic_storage_lower_demand source heat used,6227.37736059114,MWh_th,"6,227.4",DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,scenario_id == generic_storage_lower_demand; source_heat_used_mwh,8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Direct selection of the finite-dispatch scenario output.,Demand-bound sensitivity; not an observed or calibrated annual Frontier-to-ORNL operation.
dispatch_generic_storage_lower_demand_useful_heat_delivered,Finite dispatch sensitivity,generic_storage_lower_demand useful heat delivered,8760,MWh_th,"8,760.0",DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,scenario_id == generic_storage_lower_demand; useful_heat_delivered_mwh,8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Direct selection of the finite-dispatch scenario output.,Demand-bound sensitivity; not an observed or calibrated annual Frontier-to-ORNL operation.
dispatch_generic_storage_lower_demand_residual_source_rejection,Finite dispatch sensitivity,generic_storage_lower_demand residual source rejection,69346.2131902242,MWh_th,"69,346.2",DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,scenario_id == generic_storage_lower_demand; residual_source_rejection_mwh,8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Direct selection of the finite-dispatch scenario output.,Demand-bound sensitivity; not an observed or calibrated annual Frontier-to-ORNL operation.
dispatch_generic_storage_lower_demand_demand_served,Finite dispatch sensitivity,generic_storage_lower_demand demand served,1,fraction,100.000%,DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,scenario_id == generic_storage_lower_demand; demand_served_fraction,8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Direct selection of the finite-dispatch scenario output.,Demand-bound sensitivity; not an observed or calibrated annual Frontier-to-ORNL operation.
dispatch_generic_storage_upper_demand_source_heat_used,Finite dispatch sensitivity,generic_storage_upper_demand source heat used,12072.2459662074,MWh_th,"12,072.2",DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,scenario_id == generic_storage_upper_demand; source_heat_used_mwh,8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Direct selection of the finite-dispatch scenario output.,Demand-bound sensitivity; not an observed or calibrated annual Frontier-to-ORNL operation.
dispatch_generic_storage_upper_demand_useful_heat_delivered,Finite dispatch sensitivity,generic_storage_upper_demand useful heat delivered,17420.0717623654,MWh_th,"17,420.1",DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,scenario_id == generic_storage_upper_demand; useful_heat_delivered_mwh,8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Direct selection of the finite-dispatch scenario output.,Demand-bound sensitivity; not an observed or calibrated annual Frontier-to-ORNL operation.
dispatch_generic_storage_upper_demand_residual_source_rejection,Finite dispatch sensitivity,generic_storage_upper_demand residual source rejection,63501.344584608,MWh_th,"63,501.3",DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,scenario_id == generic_storage_upper_demand; residual_source_rejection_mwh,8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Direct selection of the finite-dispatch scenario output.,Demand-bound sensitivity; not an observed or calibrated annual Frontier-to-ORNL operation.
dispatch_generic_storage_upper_demand_demand_served,Finite dispatch sensitivity,generic_storage_upper_demand demand served,0.994296333468345,fraction,99.430%,DEMAND_BOUND_MODEL_OUTPUT,CONDITIONAL,results/dispatch/finite_dispatch_summary.csv,scenario_id == generic_storage_upper_demand; demand_served_fraction,8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf,Direct selection of the finite-dispatch scenario output.,Demand-bound sensitivity; not an observed or calibrated annual Frontier-to-ORNL operation.
dispatch_scenario_count,Finite dispatch sensitivity,Finite-dispatch scenarios,7,count,7,MODEL_CONFIGURATION,CONDITIONAL,results/dispatch/finite_dispatch_metadata.json,scenario_count,5316c7878d5e1f1e9ca3be80f6b0a4e7aeba10400dc329b9d9174b26cb9a6fd8,Direct metadata value.,Includes a zero-demand rejection baseline and six demand-bound sensitivities.
