waterfall_id,scenario_id,stage_order,stage_id,stage_label,value,unit,numeric_status,evidence_status,eligibility,interpretation
physical_energy,direct_upper_demand_bound,4,calibrated_technology_losses,"Calibrated capture, network, and auxiliary losses",,MWh_th,not_case_calibrated,CAPTURE_AND_BOP_BOUND_ONLY,CONDITIONAL,"COP and unit capacity are bounded, but source capture, transport, and auxiliary electricity are not case-calibrated."
physical_energy,direct_upper_demand_bound,5,finite_dispatch_source_used,Conditional finite-dispatch source heat used,11170.549102342104,MWh_th,quantified_sensitivity,DEMAND_BOUND_SCENARIO,CONDITIONAL,"Source-side heat admitted by the stated capacity, demand-bound, and storage sensitivity."
physical_energy,direct_upper_demand_bound,6,finite_dispatch_useful_delivery,Conditional useful heat delivered,16541.00540154504,MWh_th,quantified_sensitivity,DEMAND_BOUND_SCENARIO,CONDITIONAL,Useful delivery includes heat-pump electricity and is not a subtraction from source-side heat.
physical_energy,direct_upper_demand_bound,7,finite_dispatch_residual_rejection,Conditional residual source rejection,64403.04144847328,MWh_th,quantified_sensitivity,DEMAND_BOUND_SCENARIO,CONDITIONAL,Residual source heat remains assigned to the existing rejection baseline.
physical_energy,direct_upper_demand_bound,8,practical_supported_endpoint,Practical supported useful-heat endpoint,,MWh_th,not_identified,RECEIVING_TRACE_AND_CALIBRATION_NOT_FOUND,EXCLUDED,No observed/calibrated annual Frontier-to-ORNL delivery endpoint is supported.
physical_energy,minimum_formula_storage_lower_demand,1,measured_source_heat,Measured observed Frontier source heat,75573.59055081538,MWh_th,quantified,FOUND_MEASURED,SUPPORTED_INPUT,Observed valid intervals only; unavailable intervals contribute no imputed heat.
physical_energy,minimum_formula_storage_lower_demand,2,environmental_admissibility,Closed-loop reuse environmental screen,75573.59055081538,MWh_th,no_numeric_derating,BOUND_ONLY,CONDITIONAL,"Closed-loop reuse avoids a new external thermal discharge, but residual rejection remains in the existing system."
physical_energy,minimum_formula_storage_lower_demand,3,geographic_pathway_eligibility,Geographic/pathway eligibility,,MWh_th,not_case_calibrated,ROUTE_AND_HYDRAULICS_NOT_FOUND,CONDITIONAL,"Local reuse is conceptually eligible, but no calibrated hot-water route or hydraulic design exists."
physical_energy,minimum_formula_storage_lower_demand,4,calibrated_technology_losses,"Calibrated capture, network, and auxiliary losses",,MWh_th,not_case_calibrated,CAPTURE_AND_BOP_BOUND_ONLY,CONDITIONAL,"COP and unit capacity are bounded, but source capture, transport, and auxiliary electricity are not case-calibrated."
physical_energy,minimum_formula_storage_lower_demand,5,finite_dispatch_source_used,Conditional finite-dispatch source heat used,5968.760251950647,MWh_th,quantified_sensitivity,DEMAND_BOUND_SCENARIO,CONDITIONAL,"Source-side heat admitted by the stated capacity, demand-bound, and storage sensitivity."
physical_energy,minimum_formula_storage_lower_demand,6,finite_dispatch_useful_delivery,Conditional useful heat delivered,8747.758430181631,MWh_th,quantified_sensitivity,DEMAND_BOUND_SCENARIO,CONDITIONAL,Useful delivery includes heat-pump electricity and is not a subtraction from source-side heat.
physical_energy,minimum_formula_storage_lower_demand,7,finite_dispatch_residual_rejection,Conditional residual source rejection,69604.83029886473,MWh_th,quantified_sensitivity,DEMAND_BOUND_SCENARIO,CONDITIONAL,Residual source heat remains assigned to the existing rejection baseline.
physical_energy,minimum_formula_storage_lower_demand,8,practical_supported_endpoint,Practical supported useful-heat endpoint,,MWh_th,not_identified,RECEIVING_TRACE_AND_CALIBRATION_NOT_FOUND,EXCLUDED,No observed/calibrated annual Frontier-to-ORNL delivery endpoint is supported.
physical_energy,minimum_formula_storage_upper_demand,1,measured_source_heat,Measured observed Frontier source heat,75573.59055081538,MWh_th,quantified,FOUND_MEASURED,SUPPORTED_INPUT,Observed valid intervals only; unavailable intervals contribute no imputed heat.
physical_energy,minimum_formula_storage_upper_demand,2,environmental_admissibility,Closed-loop reuse environmental screen,75573.59055081538,MWh_th,no_numeric_derating,BOUND_ONLY,CONDITIONAL,"Closed-loop reuse avoids a new external thermal discharge, but residual rejection remains in the existing system."
physical_energy,minimum_formula_storage_upper_demand,3,geographic_pathway_eligibility,Geographic/pathway eligibility,,MWh_th,not_case_calibrated,ROUTE_AND_HYDRAULICS_NOT_FOUND,CONDITIONAL,"Local reuse is conceptually eligible, but no calibrated hot-water route or hydraulic design exists."
physical_energy,minimum_formula_storage_upper_demand,4,calibrated_technology_losses,"Calibrated capture, network, and auxiliary losses",,MWh_th,not_case_calibrated,CAPTURE_AND_BOP_BOUND_ONLY,CONDITIONAL,"COP and unit capacity are bounded, but source capture, transport, and auxiliary electricity are not case-calibrated."
physical_energy,minimum_formula_storage_upper_demand,5,finite_dispatch_source_used,Conditional finite-dispatch source heat used,11670.20185538386,MWh_th,quantified_sensitivity,DEMAND_BOUND_SCENARIO,CONDITIONAL,"Source-side heat admitted by the stated capacity, demand-bound, and storage sensitivity."
physical_energy,minimum_formula_storage_upper_demand,6,finite_dispatch_useful_delivery,Conditional useful heat delivered,17188.476207092073,MWh_th,quantified_sensitivity,DEMAND_BOUND_SCENARIO,CONDITIONAL,Useful delivery includes heat-pump electricity and is not a subtraction from source-side heat.
physical_energy,minimum_formula_storage_upper_demand,7,finite_dispatch_residual_rejection,Conditional residual source rejection,63903.38869543152,MWh_th,quantified_sensitivity,DEMAND_BOUND_SCENARIO,CONDITIONAL,Residual source heat remains assigned to the existing rejection baseline.
physical_energy,minimum_formula_storage_upper_demand,8,practical_supported_endpoint,Practical supported useful-heat endpoint,,MWh_th,not_identified,RECEIVING_TRACE_AND_CALIBRATION_NOT_FOUND,EXCLUDED,No observed/calibrated annual Frontier-to-ORNL delivery endpoint is supported.
physical_energy,generic_storage_lower_demand,1,measured_source_heat,Measured observed Frontier source heat,75573.59055081538,MWh_th,quantified,FOUND_MEASURED,SUPPORTED_INPUT,Observed valid intervals only; unavailable intervals contribute no imputed heat.
physical_energy,generic_storage_lower_demand,2,environmental_admissibility,Closed-loop reuse environmental screen,75573.59055081538,MWh_th,no_numeric_derating,BOUND_ONLY,CONDITIONAL,"Closed-loop reuse avoids a new external thermal discharge, but residual rejection remains in the existing system."
physical_energy,generic_storage_lower_demand,3,geographic_pathway_eligibility,Geographic/pathway eligibility,,MWh_th,not_case_calibrated,ROUTE_AND_HYDRAULICS_NOT_FOUND,CONDITIONAL,"Local reuse is conceptually eligible, but no calibrated hot-water route or hydraulic design exists."
physical_energy,generic_storage_lower_demand,4,calibrated_technology_losses,"Calibrated capture, network, and auxiliary losses",,MWh_th,not_case_calibrated,CAPTURE_AND_BOP_BOUND_ONLY,CONDITIONAL,"COP and unit capacity are bounded, but source capture, transport, and auxiliary electricity are not case-calibrated."
physical_energy,generic_storage_lower_demand,5,finite_dispatch_source_used,Conditional finite-dispatch source heat used,6227.377360591139,MWh_th,quantified_sensitivity,DEMAND_BOUND_SCENARIO,CONDITIONAL,"Source-side heat admitted by the stated capacity, demand-bound, and storage sensitivity."
physical_energy,generic_storage_lower_demand,6,finite_dispatch_useful_delivery,Conditional useful heat delivered,8759.999999999998,MWh_th,quantified_sensitivity,DEMAND_BOUND_SCENARIO,CONDITIONAL,Useful delivery includes heat-pump electricity and is not a subtraction from source-side heat.
physical_energy,generic_storage_lower_demand,7,finite_dispatch_residual_rejection,Conditional residual source rejection,69346.21319022424,MWh_th,quantified_sensitivity,DEMAND_BOUND_SCENARIO,CONDITIONAL,Residual source heat remains assigned to the existing rejection baseline.
physical_energy,generic_storage_lower_demand,8,practical_supported_endpoint,Practical supported useful-heat endpoint,,MWh_th,not_identified,RECEIVING_TRACE_AND_CALIBRATION_NOT_FOUND,EXCLUDED,No observed/calibrated annual Frontier-to-ORNL delivery endpoint is supported.
physical_energy,generic_storage_upper_demand,1,measured_source_heat,Measured observed Frontier source heat,75573.59055081538,MWh_th,quantified,FOUND_MEASURED,SUPPORTED_INPUT,Observed valid intervals only; unavailable intervals contribute no imputed heat.
physical_energy,generic_storage_upper_demand,2,environmental_admissibility,Closed-loop reuse environmental screen,75573.59055081538,MWh_th,no_numeric_derating,BOUND_ONLY,CONDITIONAL,"Closed-loop reuse avoids a new external thermal discharge, but residual rejection remains in the existing system."
physical_energy,generic_storage_upper_demand,3,geographic_pathway_eligibility,Geographic/pathway eligibility,,MWh_th,not_case_calibrated,ROUTE_AND_HYDRAULICS_NOT_FOUND,CONDITIONAL,"Local reuse is conceptually eligible, but no calibrated hot-water route or hydraulic design exists."
physical_energy,generic_storage_upper_demand,4,calibrated_technology_losses,"Calibrated capture, network, and auxiliary losses",,MWh_th,not_case_calibrated,CAPTURE_AND_BOP_BOUND_ONLY,CONDITIONAL,"COP and unit capacity are bounded, but source capture, transport, and auxiliary electricity are not case-calibrated."
physical_energy,generic_storage_upper_demand,5,finite_dispatch_source_used,Conditional finite-dispatch source heat used,12072.245966207396,MWh_th,quantified_sensitivity,DEMAND_BOUND_SCENARIO,CONDITIONAL,"Source-side heat admitted by the stated capacity, demand-bound, and storage sensitivity."
physical_energy,generic_storage_upper_demand,6,finite_dispatch_useful_delivery,Conditional useful heat delivered,17420.071762365405,MWh_th,quantified_sensitivity,DEMAND_BOUND_SCENARIO,CONDITIONAL,Useful delivery includes heat-pump electricity and is not a subtraction from source-side heat.
physical_energy,generic_storage_upper_demand,7,finite_dispatch_residual_rejection,Conditional residual source rejection,63501.34458460799,MWh_th,quantified_sensitivity,DEMAND_BOUND_SCENARIO,CONDITIONAL,Residual source heat remains assigned to the existing rejection baseline.
physical_energy,generic_storage_upper_demand,8,practical_supported_endpoint,Practical supported useful-heat endpoint,,MWh_th,not_identified,RECEIVING_TRACE_AND_CALIBRATION_NOT_FOUND,EXCLUDED,No observed/calibrated annual Frontier-to-ORNL delivery endpoint is supported.
