parameter_id,pathways,component,parameter_name,value,unit,value_kind,case_role,source_ids,derivation,scope,limitation
source_timeseries_resolution_minutes,A;B;C;D;E,source,nominal measurement interval,10,minute,direct_source,canonical,frontier_article_measurements,,,Missing timestamps remain missing.
demand_heat_min_mw,B;C;D;E,demand,reported receiving heat demand lower bound,1,MW_th,direct_source,canonical,ornl_receiving_demand,,,
demand_heat_max_mw,B;C;D;E,demand,reported receiving heat demand upper bound,2,MW_th,direct_source,canonical,ornl_receiving_demand,,,
demand_hot_water_min_c,B;C;D;E,demand,reported hot-water temperature lower bound,80,deg_C,direct_source,canonical,ornl_receiving_demand,,,
demand_hot_water_max_c,B;C;D;E,demand,reported hot-water temperature upper bound,90,deg_C,direct_source,canonical,ornl_receiving_demand,,,
demand_hourly_trace,B;C;D;E,demand,measured hourly receiving-demand trace,,MW_th,missing_required,exclusion_gate,ornl_demand_data_gap,,,Finite receiving-demand dispatch is not yet supported.
heat_pump_case_cop,B;C;D;E,heat_pump,coefficient of performance,3.08,MW_heat/MW_electric,direct_source,canonical,ornl_carrier_performance,,Approximately 30 deg C source and 85 deg C sink.,
heat_pump_case_sink_temperature_c,B;C;D;E,heat_pump,delivered-water temperature,85,deg_C,direct_source,canonical,ornl_carrier_performance;carrier_product_envelope,,,
heat_pump_case_unit_capacity_mw,B;C;D;E,heat_pump,unit heating capacity,1,MW_th,direct_source,canonical,ornl_case_a_configuration,,,
heat_pump_case_unit_count,B;C;D;E,heat_pump,installed units,3,count,direct_source,canonical,ornl_case_a_configuration,,,
heat_pump_case_total_capacity_mw,B;C;D;E,heat_pump,total heating capacity,3,MW_th,derived,canonical,ornl_case_a_configuration,3 units * 1 MW_th/unit.,,
heat_pump_case_unit_equipment_cost_usd,B;C;D;E,heat_pump,reported unit capital cost,200000,USD_unspecified_year/unit,direct_source,sensitivity,ornl_case_a_configuration,,,Equipment-only scope and price year are not fully specified.
heat_pump_manufacturer_capacity_min_mw,B;C;D;E,heat_pump,manufacturer capacity range minimum,0.2,MW_th,direct_source,context_only,carrier_product_envelope,,,
heat_pump_manufacturer_capacity_max_mw,B;C;D;E,heat_pump,manufacturer capacity range maximum,2.5,MW_th,direct_source,context_only,carrier_product_envelope,,,
heat_pump_compressor_bearing_life_hours,B;C;D;E,heat_pump,compressor bearing life,100000,operating_hour,direct_source,context_only,carrier_bearing_life,,,Not a full-system technical lifetime.
heat_pump_generic_cop_2025,B;C;D;E,heat_pump,generic annual-average heat efficiency,3.1,MW_heat/MW_electric,direct_source,context_only,dea_heat_pump_2025;dea_heat_pump_scope,,Generic 13/8 deg C source and 35/70 deg C district heat.,
heat_pump_generic_auxiliary_fraction_2025,B;C;D;E,heat_pump,generic auxiliary electricity share of heat,0.01,fraction,direct_source,context_only,dea_heat_pump_2025;dea_heat_pump_scope,,,Already included in generic COP; do not double count.
heat_pump_generic_lifetime_years,B;C;D;E,heat_pump,generic technical lifetime,25,year,direct_source,sensitivity,dea_heat_pump_2025,,,
heat_pump_generic_lifetime_lower_years,B;C;D;E,heat_pump,generic technical lifetime lower bound,15,year,direct_source,sensitivity,dea_heat_pump_2025,,,
heat_pump_generic_lifetime_upper_years,B;C;D;E,heat_pump,generic technical lifetime upper bound,40,year,direct_source,sensitivity,dea_heat_pump_2025,,,
heat_pump_generic_minimum_load_fraction,B;C;D;E,heat_pump,generic minimum load,0.25,fraction,direct_source,sensitivity,dea_heat_pump_2025,,,
heat_pump_generic_forced_outage_fraction,B;C;D;E,heat_pump,generic forced outage,0,fraction,direct_source,sensitivity,dea_heat_pump_2025,,,
heat_pump_generic_planned_outage_weeks,B;C;D;E,heat_pump,generic planned outage,1,week/year,direct_source,sensitivity,dea_heat_pump_2025,,,
heat_pump_generic_total_capex_eur2025_per_mw,B;C;D;E,heat_pump,generic total nominal investment,1130000,EUR_2025/MW_th,derived,sensitivity,dea_heat_pump_2025;dea_heat_pump_scope,"Published MEUR/MW_th value multiplied by 1,000,000.",,70 deg C ammonia system; not a case-specific 85 deg C quote.
heat_pump_generic_equipment_capex_eur2025_per_mw,B;C;D;E,heat_pump,generic heat-pump equipment investment,550000,EUR_2025/MW_th,derived,sensitivity,dea_heat_pump_2025,"Published MEUR/MW_th value multiplied by 1,000,000.",,
heat_pump_generic_building_capex_eur2025_per_mw,B;C;D;E,heat_pump,generic building investment,60000,EUR_2025/MW_th,derived,sensitivity,dea_heat_pump_2025,"Published MEUR/MW_th value multiplied by 1,000,000.",,
heat_pump_generic_other_capex_eur2025_per_mw,B;C;D;E,heat_pump,generic other investment,520000,EUR_2025/MW_th,derived,sensitivity,dea_heat_pump_2025;dea_heat_pump_scope,"Published MEUR/MW_th value multiplied by 1,000,000.",,
heat_pump_generic_fixed_om_eur2025_per_mw_year,B;C;D;E,heat_pump,generic fixed O&M,2126.745436,EUR_2025/MW_th/year,direct_source,sensitivity,dea_heat_pump_2025,,,
heat_pump_generic_variable_om_eur2025_per_mwh,B;C;D;E,heat_pump,generic variable O&M,3.07,EUR_2025/MWh_th,direct_source,sensitivity,dea_heat_pump_2025,,,
heat_pump_full_installed_case_cost,B;C;D;E,heat_pump,case-specific full installed capital cost,,USD_or_EUR,missing_required,exclusion_gate,ornl_case_a_configuration;dea_heat_pump_scope,,,ORNL provides an equipment cost; the generic catalogue is a different refrigerant and temperature design.
storage_generic_capacity_mwh,B;E,storage,generic TTES capacity,290,MWh_th,direct_source,context_only,dea_ttes_2025;dea_ttes_scope,,,
storage_generic_volume_m3,B;E,storage,generic TTES example volume,5000,m3,direct_source,context_only,dea_ttes_2025,,,
storage_generic_charge_power_mw,B;E,storage,generic TTES input capacity,29,MW_th,direct_source,context_only,dea_ttes_2025;dea_ttes_scope,,,
storage_generic_discharge_power_mw,B;E,storage,generic TTES output capacity,29,MW_th,direct_source,context_only,dea_ttes_2025;dea_ttes_scope,,,
storage_generic_roundtrip_efficiency,B;E,storage,generic TTES round-trip efficiency,0.98,fraction,derived,context_only,dea_ttes_2025,Published percentage divided by 100.,,One-year-cycle metric; do not combine with standing loss blindly.
storage_generic_charge_efficiency,B;E,storage,generic TTES charge efficiency,1,fraction,derived,context_only,dea_ttes_2025,Published percentage divided by 100.,,
storage_generic_discharge_efficiency,B;E,storage,generic TTES discharge efficiency,1,fraction,derived,context_only,dea_ttes_2025,Published percentage divided by 100.,,
storage_generic_standing_loss_per_day,B;E,storage,generic TTES storage loss,0.0015,fraction/day,derived,sensitivity,dea_ttes_2025,Published percentage per day divided by 100.,,
storage_generic_auxiliary_fraction,B;E,storage,generic TTES auxiliary electricity,0.004,MWh_electric/MWh_th_output,derived,sensitivity,dea_ttes_2025,Published percentage of output divided by 100.,,
storage_generic_lifetime_years,B;E,storage,generic TTES technical lifetime,40,year,direct_source,sensitivity,dea_ttes_2025,,,
storage_generic_forced_outage_fraction,B;E,storage,generic TTES forced outage,0,fraction,derived,sensitivity,dea_ttes_2025,Published percentage divided by 100.,,
storage_generic_planned_outage_weeks,B;E,storage,generic TTES planned outage,1,week/year,direct_source,sensitivity,dea_ttes_2025,,,
storage_generic_construction_time_years,B;E,storage,generic TTES construction time,1,year,direct_source,sensitivity,dea_ttes_2025,,,
storage_generic_capex_eur2025_per_gwh,B;E,storage,generic TTES specific investment,3793103.44828,EUR_2025/GWh_th,derived,sensitivity,dea_ttes_2025,"Published MEUR/GWh value multiplied by 1,000,000.",,
storage_generic_fixed_om_eur2025_per_mwh_year,B;E,storage,generic TTES fixed O&M,10.3448275862,EUR_2025/MWh_th_capacity/year,direct_source,sensitivity,dea_ttes_2025,,,
storage_generic_variable_om_eur2025_per_mwh,B;E,storage,generic TTES variable O&M,0.620319866876,EUR_2025/MWh_th_output,direct_source,sensitivity,dea_ttes_2025,,,
storage_generic_temperature_difference_k,B;E,storage,generic TTES hot-cold temperature difference,55,K,direct_source,context_only,dea_ttes_2025;dea_ttes_scope,,,Not established for the ORNL heating-water loop.
storage_generic_max_hot_temperature_c,B;E,storage,generic TTES maximum hot temperature,99,deg_C,direct_source,context_only,dea_ttes_2025,,,
storage_generic_discharged_temperature_c,B;E,storage,generic TTES discharged temperature,97,deg_C,direct_source,context_only,dea_ttes_2025,,,
storage_cost_formula_a,B;E,storage,TTES cost power-law coefficient a,3055,EUR_2025/m3,direct_source,sensitivity,dea_ttes_cost_formula,,,
storage_cost_formula_b,B;E,storage,TTES cost power-law exponent b,-0.309,dimensionless,direct_source,sensitivity,dea_ttes_cost_formula,,,
storage_cost_formula_min_volume_m3,B;E,storage,TTES cost formula minimum valid volume,900,m3,direct_source,sensitivity,dea_ttes_cost_formula,,,
storage_cost_formula_max_volume_m3,B;E,storage,TTES cost formula maximum valid volume,12000,m3,direct_source,sensitivity,dea_ttes_cost_formula,,,
storage_min_formula_volume_capacity_mwh,B;E,storage,generic capacity at minimum formula volume,52.2,MWh_th,derived,sensitivity,dea_ttes_2025;dea_ttes_cost_formula,"290 MWh / 5,000 m3 * 900 m3.",,Assumes the generic 55 K temperature difference.
storage_min_formula_volume_capex_eur2025,B;E,storage,generic CAPEX at minimum formula volume,336041.402494,EUR_2025,derived,sensitivity,dea_ttes_cost_formula,"3,055 * 900^-0.309 EUR/m3 * 900 m3.",,"Excludes external pumps, exchangers and network connection."
storage_shift_duration_6h,B;E,storage,short-term storage duration,6,hour,scenario,sensitivity,,Prespecified continuity with the global 6-hour window.,,
storage_shift_duration_12h,B;E,storage,short-term storage duration,12,hour,scenario,sensitivity,,Prespecified continuity with the global 12-hour window.,,
storage_shift_duration_18h,B;E,storage,short-term storage duration,18,hour,scenario,sensitivity,,Prespecified continuity with the global 18-hour window.,,
storage_case_return_temperature_c,B;E,storage,ORNL heating-water return temperature,,deg_C,missing_required,exclusion_gate,ornl_demand_data_gap;dea_ttes_scope,,,Case-specific storage capacity cannot be fixed without it.
transport_reference_distance_mile,D;E,transport,existing campus steam-line distance,1,mile,direct_source,context_only,ornl_case_a_configuration,,,Not a designed Frontier hot-water route.
transport_sensitivity_max_distance_km,D;E,transport,maximum local transport sensitivity distance,1.609344,km,derived,sensitivity,ornl_case_a_configuration,1 mile * 1.609344 km/mile.,,Does not establish a route or distance-loss function.
transport_existing_steam_loss_fraction,D;E,transport,existing steam-line heat loss,0.08,fraction,direct_source,context_only,ornl_case_a_configuration,,,Must not be applied as a hot-water-network loss.
transport_generic_high_density_loss_fraction,D;E,transport,traditional high-density network loss,0.17,fraction,direct_source,sensitivity,cooldh_generic_network,,,
transport_generic_low_density_loss_fraction,D;E,transport,traditional low-density network loss upper comparator,0.35,fraction,direct_source,sensitivity,cooldh_generic_network,,,
transport_generic_pumping_fraction,D;E,transport,generic network pumping energy,0.02,MWh_electric/MWh_th_supplied,direct_source,sensitivity,cooldh_generic_network,,,
transport_optimized_osterby_loss_fraction,D;E,transport,optimized Osterby network loss,0.108,fraction,direct_source,sensitivity,cooldh_osterby_network,,,
transport_brunnshog_initial_loss_fraction,D;E,transport,Brunnshog initial network loss,0.09,fraction,direct_source,sensitivity,cooldh_brunnshog_network,,,
transport_brunnshog_full_build_loss_fraction,D;E,transport,Brunnshog full-build network loss,0.03,fraction,direct_source,sensitivity,cooldh_brunnshog_network,,,
transport_case_loss_function,D;E,transport,Frontier-specific distance-loss function,,fraction/km,missing_required,exclusion_gate,ornl_case_a_configuration;cooldh_generic_network,,,"No route geometry, pipe specification or measured hot-water loss is available; generic percentages are not converted to per-km loss."
storage_generic_capacity_mwh_minimum,B;E,storage,generic TTES capacity minimum,210,MWh_th,derived,sensitivity,dea_ttes_2025,Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns.,,
storage_generic_capacity_mwh_maximum,B;E,storage,generic TTES capacity maximum,315,MWh_th,derived,sensitivity,dea_ttes_2025,Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns.,,
storage_generic_charge_power_mw_minimum,B;E,storage,generic TTES input capacity minimum,1.5,MW_th,derived,sensitivity,dea_ttes_2025,Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns.,,
storage_generic_charge_power_mw_maximum,B;E,storage,generic TTES input capacity maximum,125,MW_th,derived,sensitivity,dea_ttes_2025,Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns.,,
storage_generic_discharge_power_mw_minimum,B;E,storage,generic TTES output capacity minimum,1.5,MW_th,derived,sensitivity,dea_ttes_2025,Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns.,,
storage_generic_discharge_power_mw_maximum,B;E,storage,generic TTES output capacity maximum,125,MW_th,derived,sensitivity,dea_ttes_2025,Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns.,,
storage_generic_roundtrip_efficiency_minimum,B;E,storage,generic TTES round-trip efficiency minimum,0.96,fraction,derived,sensitivity,dea_ttes_2025,"Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns, multiplied by 0.01.",,
storage_generic_roundtrip_efficiency_maximum,B;E,storage,generic TTES round-trip efficiency maximum,0.99,fraction,derived,sensitivity,dea_ttes_2025,"Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns, multiplied by 0.01.",,
storage_generic_standing_loss_per_day_minimum,B;E,storage,generic TTES storage loss minimum,0.0014,fraction/day,derived,sensitivity,dea_ttes_2025,"Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns, multiplied by 0.01.",,
storage_generic_standing_loss_per_day_maximum,B;E,storage,generic TTES storage loss maximum,0.0021,fraction/day,derived,sensitivity,dea_ttes_2025,"Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns, multiplied by 0.01.",,
storage_generic_auxiliary_fraction_minimum,B;E,storage,generic TTES auxiliary electricity minimum,0.003,MWh_electric/MWh_th_output,derived,sensitivity,dea_ttes_2025,"Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns, multiplied by 0.01.",,
storage_generic_auxiliary_fraction_maximum,B;E,storage,generic TTES auxiliary electricity maximum,0.015,MWh_electric/MWh_th_output,derived,sensitivity,dea_ttes_2025,"Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns, multiplied by 0.01.",,
storage_generic_forced_outage_fraction_minimum,B;E,storage,generic TTES forced outage minimum,0,fraction,derived,sensitivity,dea_ttes_2025,"Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns, multiplied by 0.01.",,
storage_generic_forced_outage_fraction_maximum,B;E,storage,generic TTES forced outage maximum,0.03,fraction,derived,sensitivity,dea_ttes_2025,"Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns, multiplied by 0.01.",,
storage_generic_planned_outage_weeks_minimum,B;E,storage,generic TTES planned outage minimum,0,week/year,derived,sensitivity,dea_ttes_2025,Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns.,,
storage_generic_planned_outage_weeks_maximum,B;E,storage,generic TTES planned outage maximum,4,week/year,derived,sensitivity,dea_ttes_2025,Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns.,,
storage_generic_lifetime_years_minimum,B;E,storage,generic TTES technical lifetime minimum,30,year,derived,sensitivity,dea_ttes_2025,Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns.,,
storage_generic_lifetime_years_maximum,B;E,storage,generic TTES technical lifetime maximum,50,year,derived,sensitivity,dea_ttes_2025,Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns.,,
storage_generic_construction_time_years_minimum,B;E,storage,generic TTES construction time minimum,0.8,year,derived,sensitivity,dea_ttes_2025,Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns.,,
storage_generic_construction_time_years_maximum,B;E,storage,generic TTES construction time maximum,1.5,year,derived,sensitivity,dea_ttes_2025,Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns.,,
storage_generic_capex_eur2025_per_gwh_minimum,B;E,storage,generic TTES specific investment minimum,3142857.14286,EUR_2025/GWh_th,derived,sensitivity,dea_ttes_2025,"Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns, multiplied by 1000000.",,
storage_generic_capex_eur2025_per_gwh_maximum,B;E,storage,generic TTES specific investment maximum,7464285.71429,EUR_2025/GWh_th,derived,sensitivity,dea_ttes_2025,"Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns, multiplied by 1000000.",,
storage_generic_fixed_om_eur2025_per_mwh_year_minimum,B;E,storage,generic TTES fixed O&M minimum,7.93650793651,EUR_2025/MWh_th_capacity/year,derived,sensitivity,dea_ttes_2025,Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns.,,
storage_generic_fixed_om_eur2025_per_mwh_year_maximum,B;E,storage,generic TTES fixed O&M maximum,23.8095238095,EUR_2025/MWh_th_capacity/year,derived,sensitivity,dea_ttes_2025,Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns.,,
storage_generic_variable_om_eur2025_per_mwh_minimum,B;E,storage,generic TTES variable O&M minimum,0.549490616622,EUR_2025/MWh_th_output,derived,sensitivity,dea_ttes_2025,Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns.,,
storage_generic_variable_om_eur2025_per_mwh_maximum,B;E,storage,generic TTES variable O&M maximum,2.39857015192,EUR_2025/MWh_th_output,derived,sensitivity,dea_ttes_2025,Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns.,,
storage_generic_temperature_difference_k_minimum,B;E,storage,generic TTES hot-cold temperature difference minimum,40,K,derived,sensitivity,dea_ttes_2025,Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns.,,
storage_generic_temperature_difference_k_maximum,B;E,storage,generic TTES hot-cold temperature difference maximum,60,K,derived,sensitivity,dea_ttes_2025,Numeric minimum/maximum of the workbook 2025 Lower and Upper estimate columns.,,
